2019-01-19 17:09:24,718 INFO #!/usr/bin/env python3
# -*- coding: utf-8 -*-
"""
Created on Thu Oct  4 20:24:20 2018

@author: sebastian
"""

#--------------------------------------------------------------------------------
#                                 PARAMETROS
#--------------------------------------------------------------------------------
#solo porque lo pide para inicializar el modelo
batch_size= 1
learning_rate = 0.001 
momentum= 0.9 #solo SGD
hayLabels= True 	# cuando no necesito labels
postprocesar= False  #aplicar postprocesamiento
cadaCuantas= 20

#%%   DATA
nombreData= "test"      #para leer, sin .npz
split= 1              #cuantos datos usar del modulo. 1= todo
cant_inferir= 1           #cantidad de modulos de inferir para cargar (solo cuando uso otros de train)
nameData= "testTodaWMasDatosLimpiar0.9Islas"            #para escribir, extra que se agrega al nombre para guardar (util para no sobreescribir)
tol= 0.25               #necesario para medir acc y jaccard
verGraficas= False

#%%   MASCARA       
#tipoDatos= "maskBordes"
#tipoDatos= "maskLineal"
tipoDatos= "maskCanales"

#%%   MODELO
pathModel= "../modelo/maskCanales_Adam_CrossEntropy_etapa2_best"               #path a modelo a cargar

# optim. (para cargar modelo)
tipoOptim= "Adam"
#tipoOptim= "Adadelta"
#tipoOptim= "SGD"

# loss
#tipoLoss= "BCE"
#tipoLoss= "BCEwLogits"
tipoLoss= "CrossEntropy"
#tipoLoss= "MSE"

2019-01-19 17:09:51,327 INFO Step [120/2688], Loss: 0.0012, Accuracy: 98.787, Jaccard: 97.100 %
2019-01-19 17:09:51,615 INFO Step [121/2688], Loss: 0.0037, Accuracy: 98.567, Jaccard: 97.233 %
2019-01-19 17:09:51,811 INFO Step [122/2688], Loss: 0.0020, Accuracy: 98.781, Jaccard: 97.436 %
2019-01-19 17:09:51,982 INFO Step [123/2688], Loss: 0.0106, Accuracy: 74.358, Jaccard: 73.695 %
2019-01-19 17:09:52,177 INFO Step [124/2688], Loss: 0.0221, Accuracy: 74.205, Jaccard: 73.329 %
2019-01-19 17:09:52,349 INFO Step [125/2688], Loss: 0.0033, Accuracy: 98.957, Jaccard: 97.802 %
2019-01-19 17:09:52,542 INFO Step [126/2688], Loss: 0.0018, Accuracy: 99.092, Jaccard: 98.030 %
2019-01-19 17:09:52,710 INFO Step [127/2688], Loss: 0.0017, Accuracy: 99.252, Jaccard: 98.528 %
2019-01-19 17:09:52,903 INFO Step [128/2688], Loss: 0.0021, Accuracy: 99.110, Jaccard: 98.455 %
2019-01-19 17:09:53,080 INFO Step [129/2688], Loss: 0.0079, Accuracy: 97.369, Jaccard: 96.181 %
2019-01-19 17:09:53,278 INFO Step [130/2688], Loss: 0.0039, Accuracy: 99.279, Jaccard: 96.747 %
2019-01-19 17:09:53,446 INFO Step [131/2688], Loss: 0.0013, Accuracy: 99.434, Jaccard: 98.338 %
2019-01-19 17:09:53,645 INFO Step [132/2688], Loss: 0.0025, Accuracy: 99.407, Jaccard: 97.903 %
2019-01-19 17:09:53,815 INFO Step [133/2688], Loss: 0.0037, Accuracy: 99.371, Jaccard: 98.756 %
2019-01-19 17:09:53,989 INFO Step [134/2688], Loss: 0.0017, Accuracy: 99.316, Jaccard: 98.480 %
2019-01-19 17:09:54,159 INFO Step [135/2688], Loss: 0.0020, Accuracy: 99.177, Jaccard: 98.417 %
2019-01-19 17:09:54,335 INFO Step [136/2688], Loss: 0.0043, Accuracy: 99.074, Jaccard: 98.206 %
